Category,Name,Description,Repo / Guide,
Deep Learning,External Attention,A bunch of attention mechanisms in Pytorch,https://github.com/xmu-xiaoma666/External-Attention-pytorch,
Visualization,Pretty Bar Graph Tutorial,Guide on creating pretty bar charts,https://towardsdatascience.com/tutorial-on-building-a-professional-bar-graph-in-plotly-python-ba8e63fda048,
Machine Learning,Randomized Search CV,Scikit-Learn better than Grid Search CV,Sci-kit Learn,
Visualization,Autoplotter,Exploratory Data Analysis (EDA) tool,pip install autoplotter,
Visualization,Observable Summary Table,Get summaries of a dataset,https://observablehq.com/product,
Data Processing,Label Studio,Create labels for a supervised learning task,https://github.com/heartexlabs/label-studio,
Data Processing,Detectron 2,Parse any document,https://towardsdatascience.com/auto-parse-and-understand-any-document-5d72e81b0be9,
Hyperparameter Tuning,Optuna,Efficient hyperparameter tuning for Keras and PyTorch,https://github.com/optuna/optuna,
Data Processing,Pandas Profiling,Exploratory Data Analysis (EDA) tool,https://towardsdatascience.com/how-to-do-exploratory-data-analysis-with-one-line-of-code-1364e16a102e,
Python Efficiency,Swifter,"Speed up ""Apply"" function for Pandas",https://towardsdatascience.com/10x-times-faster-pandas-apply-in-a-single-line-change-of-code-c42cb5e82f6d,
